Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,hit_ratio,range of hit_ratio,,class_PFAA
2137,C=C(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOC(=O)C(C)=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846  33988699  17313015 ... 136323818 138388023  22160906],PFAA precursors,PASF-based substances,,10,,12
2138,O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C(=O)Nc1cccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,[K+].[H]N(C(=O)C1=C(C([O-])=O)C(Cl)=C(Cl)C(Cl)=C1Cl)C1=CC(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=CC=C1,[ 29171094 104111782  17313015 ...  25560912  59872263   8690988],Other PFASs,Aromatic PFASs,,10,,12
2139,O=C(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...   8587256  40226743 151237944],Polyfluoroalkyl acids,PolyFCAs,,10,,12
2140,FC(F)=C(F)OC(F)(F)C(F)(Oc1c(F)c(F)c(F)c(F)c1F)C(F)(F)F,FC(F)=C(F)OC(F)(F)C(F)(OC1=C(F)C(F)=C(F)C(F)=C1F)C(F)(F)F,[   853465  30783190   2321880 ... 344765240  69108455  10033134],Other PFASs,Aromatic PFASs,,10,,12
2141,CCCOC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,CCCOC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,[   853465   9635651 107816900 ... 218510692  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2142,COc1c2occc2c(OC)c2c(=O)cc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)oc12,COC1=C2OC=CC2=C(OC)C2=C1OC(=CC2=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 46692570 151547136  63689098 ...  44438216 226660855 107724166],Other PFASs,Aromatic PFASs,,10,,12
2143,CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(=O)(=O)CC,CCC1=C(C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F)S(=O)(=O)CC,[ 52793636  34348060  17313015 ...  83238084 336304663  11852866],Other PFASs,Aromatic PFASs,,10,,12
2144,FC(F)(F)C(F)(F)C(F)(F)C(Cl)CCl,FC(F)(F)C(F)(F)C(F)(F)C(Cl)CCl,[111000236 267329837 101186573 ...  34400313 144535159 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2145,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[217845993 104111782  97181807 ... 171882282  43796935  98778836],PFAA precursors,PolyFEACs,,10,,12
2146,CCOS(=O)(=O)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOS(=O)(=O)CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  49018156  14316170 ...  16631887 281920279 101347708],Polyfluoroalkyl acids,PolyFSA derivatives,,10,,12
2147,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCI,[250618452 104111782  97181807 ...  16631887 281920279  24985098],Other PFASs,Polyfluoroalkanes,,10,,12
2148,CCOC(=O)/C=C/S(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)\C=C\S(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 107055568  14316170 ... 253630925  95211479  29302852],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2149,C[N+](C)(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[I-].C[N+](C)(C)CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  9757136   8492060  97181807 ... 194511214  99043863 151237944],Other PFASs,Amide derivatives,,10,,12
2150,CCCCSc1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1CC,CCCCSC1=C(CC)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 52793636  34348060  63360499 ... 183967038 198913703  11852866],Other PFASs,Aromatic PFASs,,10,,12
2151,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 177846928 281920279 151237944],PFAA precursors,HFCs,,10,,12
2152,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,[250618452  58869667  97181807 ...  88808901  54206375 151237944],"Other PFASs, cyclic","Perfluoroalkanes, cyclic",,10,,12
2153,C=C(C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[ 43491808  49018156 107816900 ...  88808901  43796935 151237944],Other PFASs,others,,10,,12
2154,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944],PFAA precursors,HFCs,,10,,12
2155,FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[146045426 104111782  97181807 ...  37796763  14046279 151237944],PFAA precursors,PolyFAenes,,10,,12
2156,FC(F)(F)C(F)(F)C(F)(F)C(Cc1ccc(Br)cc1)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(CC1=CC=C(Br)C=C1)(C(F)(F)F)C(F)(F)F,[250618452 312252844  84382633 ...  92201024 281920279  93860188],Other PFASs,Aromatic PFASs,,10,,12
2157,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[  1426846 154242801  18439196 ...  15279529 168823863  22160906],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2158,O=C(Br)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)=O,[250618452 104111782  97181807 ... 115490462 174732839 108111600],Other PFASs,others,,10,,12
2159,C=CC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOC(=O)C=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 136323818 138388023  81500836],PFAA precursors,PASF-based substances,,10,,12
2160,CC(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 48185527 104111782  97181807 ... 524294023 281920279  87424764],Other PFASs,others,,10,,12
2161,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCI,[250618452 104111782  97181807 ...  16631887  43796935  24985098],Other PFASs,Polyfluoroalkanes,,10,,12
2162,O=C(Nc1ccc([N+](=O)[O-])cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[O-][N+](=O)C1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[  7060930   8492060  97181807 ...  54552999  72176439 151237944],Other PFASs,Aromatic PFASs,,10,,12
2163,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,[ 19469312  85244370  18439196 ...  15279529 281920279 151237944],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2164,C=CCOC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(=O)OCC=C)C(F)(F)F,[   853465  90791381 107816900 ...   1095206  23638503  71007262],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2165,CC(C)([N+](=O)[O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)([N+]([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 144813810  26892103  62631994],Other PFASs,others,,10,,12
2166,O=C(F)C(F)(OC(F)(F)C(F)(F)OC(F)(C(=O)F)C(F)(F)F)C(F)(F)F,FC(=O)C(F)(OC(F)(F)C(F)(F)OC(F)(C(F)=O)C(F)(F)F)C(F)(F)F,[   853465 196028059 108979564 ...  65408281 101296679 261466434],Other PFASs,Polyfluoroalkyl ethers and derivatives,,10,,12
2167,C=C(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOC(=O)C(C)=C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[  1426846  33988699  17313015 ... 136323818 138388023  22160906],PFAA precursors,PASF-based substances,,10,,12
2168,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,CN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,[ 21375283  33988699  17313015 ... 136323818 138388023 151237944],Other PFASs,others,,10,,12
2169,OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  58849484  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2170,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,10,,12
2171,O=S(=O)(CCCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[185362239  49018156  17313015 ... 253630925 107222071  10360726],Other PFASs,others,,10,,12
2172,FC(F)C(F)(F)OC(F)(F)F,FC(F)C(F)(F)OC(F)(F)F,[  9039219  71290352 229325621 ... 295175991 101296679  70269816],PFAA precursors,HFEs,,10,,12
2173,F/C(I)=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F\C(I)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  65874932 226076855 151237944],PFAA precursors,PolyFAenes,,10,,12
2174,O=C(NC1CCCCC1)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)NC1CCCCC1,[250618452   8492060 107816900 ... 194511214 281920279 151237944],"Other PFASs, cyclic","Amide derivatives, cyclic",,10,,12
2175,N#CSCCC(F)(F)C(F)(F)F,"FC(F)(F)C(F)(F)CCSC#N |lp:0:3,2:3,3:3,5:3,6:3,9:2,11:1,Sg:n:6,5,4:1-17:ht|",[145920482  49018156  40876812 ... 331589905 281920279 117501932],PFAA precursors,n:2 fluorotelomer-based substances,,10,,12
2176,C=C(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,CC(=C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,[   853465 154242801 219293745 ... 291378977 207632695  22160906],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2177,FC(F)(F)C(F)(F)C(F)(F)c1ccnc2ccccc12,FC(F)(F)C(F)(F)C(F)(F)C1=CC=NC2=CC=CC=C12,[ 99578665  39139378  63689098 ...  17799215 104049095 151237944],Other PFASs,Aromatic PFASs,,10,,12
2178,C=CCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COCC=C,[ 35941647 104111782  97181807 ...   1095206 281920279  22166258],Other PFASs,others,,10,,12
2179,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CI,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CI,[250618452 104111782  97181807 ... 611624164 281920279 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2180,FC(F)(F)C(F)(c1ccc2nn[nH]c2c1)C(F)(F)F,FC(F)(F)C(F)(C1=CC=C2N=NNC2=C1)C(F)(F)F,[127691501 203331170 189929992 ...  97693174  94767431 126608924],Other PFASs,Aromatic PFASs,,10,,12
2181,CCCCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070   5065065  97181807 ... 200578621  14046279 151237944],PFAA precursors,SFAenes,,10,,12
2182,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)(Br)CBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Br)(Br)CBr,[ 21346580 104111782  81642559 ...   5446810 220357271  86924324],Other PFASs,Polyfluoroalkanes,,10,,12
2183,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,[ 35941647 429712812 107816900 ... 286019159 128847015  46460802],PFAA precursors,PolyFACs,,10,,12
2184,O=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=O,[250618452 104111782  97181807 ... 300159690 281920279 151237944],PFAA precursors,PFALs,,10,,12
2185,C=COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)OC=C,[250618452 107055568  17313015 ...  25029786 107222071  29302852],PFAAs,PFSA derivatives,,10,,10
2186,FC(=C(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(=C(F)C(F)(F)C(F)(F)F)C(F)(F)F,[ 49148242 297944774 107816900 ...  65874932  30740423 151237944],PFAA precursors,PFAenes,,10,,12
2187,F[I](F)C#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,F[I](F)C#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[109264537  19508706  13966168 ...  78481900  78646743 151237944],Other PFASs,others,,10,,12
2188,CCN(CCCS(=O)(=O)O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Na+].CCN(CCCS([O-])(=O)=O)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060  12560177 ... 162477053  62647831 101347708],Other PFASs,Amide derivatives,,10,,12
2189,CC(COCC(C)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(COCC(C)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[113638662 104111782  97181807 ... 171882282  43796935 151237944],PFAA precursors,PolyFEACs,,10,,12
2190,CC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,CC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CCC(=O)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[ 86887708 215423514  83141967 ...  20521944  43796935 151237944],PFAA precursors,PFAK derivatives,,10,,12
2191,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(I)cc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(I)C=C1,[115611454  17872842  26425151 ... 162895639 145060199  97815462],Other PFASs,Aromatic PFASs,,10,,12
2192,O=S(=O)(O)c1ccccc1CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Na+].[H]N(CC1=CC=CC=C1S([O-])(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  67733975  17313015 ... 136323818  90036311  29516144],Other PFASs,Aromatic PFASs,,10,,12
2193,C[N+](C)(C)CCCNC(=O)c1ccc(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)cc1,[I-].C[N+](C)(C)CCCNC(=O)C1=CC=C(OC(=C(C(F)(C(F)(F)F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)C=C1,[  9757136  33988699 102139561 ... 124699056  99043863 107766604],Other PFASs,Aromatic PFASs,,10,,12
2194,C=COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OC=C,[168244191 104111782  31694403 ... 291378977  99703927 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2195,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ... 274242922  99703927 151237944],PFAAs,PFCA-ester derivatives,,10,,8
2196,CCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2197,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 286019159 240371511 151237944],PFAA precursors,HFCs,,10,,12
2198,CO[Si](CCCOC(F)(F)C(F)(F)C(F)(F)F)(OC)OC,CO[Si](CCCOC(F)(F)C(F)(F)C(F)(F)F)(OC)OC,[124301851 541103106 107816900 ...  86620554  23638503  71007262],Other PFASs,Si PFASs,,10,,12
2199,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Br)C(F)(F)Br,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(Br)C(F)(F)Br,[187774998 104111782  33612732 ... 198358795 220306311 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2200,CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(C)CCCNCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   1815513  97181807 ... 171882282  43796935 151237944],Other PFASs,others,,10,,12
2201,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)n1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=NC(=NC(=N1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 13458306 101484161  26425151 ... 101568072  61736103 100783708],Other PFASs,Aromatic PFASs,,10,,12
2202,C=COC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)OC=C,[168244191 541103106  31694403 ... 139782072  23638503  48180712],Other PFASs,Polyfluoroalkyl ethers and derivatives,,10,,12
2203,CCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
2204,C=CC(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C=C,[104828107 215423514 107816900 ...  88808901  14046279 151237944],PFAA precursors,HFOs,,10,,12
2205,CCOC(=O)CC(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)CC(F)(F)C(F)(F)C(F)(F)F,[ 19469312 541103106  14316170 ... 280063800 193393559 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,10,,12
2206,CCS(=O)(=O)c1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1C,CCS(=O)(=O)C1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,[ 31840531  49018156  17313015 ...  63751395 266170263 233420030],Other PFASs,Aromatic PFASs,,10,,12
2207,OCCC(F)(F)C(F)(F)C(F)(F)F,OCCC(F)(F)C(F)(F)C(F)(F)F,[250618452 137369255 107816900 ... 611624164 281920279  10360726],PFAA precursors,PolyFACs,,10,,12
2208,FC(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(Br)cc1,FC(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(Br)C=C1,[115611454  88063690  26425151 ...  11942334  43796935 151237944],Other PFASs,Aromatic PFASs,,10,,12
2209,FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,[198202562 196028059 144793530 ... 145799486 101296679  70269816],Other PFASs,Perfluoroalkylethers,,10,,12
2210,OCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279  10360726],PFAA precursors,PolyFACs,,10,,12
2211,Cc1[nH]nc(C(F)(F)C(F)(F)C(F)(F)F)c1Br,CC1=C(Br)C(=NN1)C(F)(F)C(F)(F)C(F)(F)F,[250618452  72561737  72807929 ...  99595631 246243015 107724166],Other PFASs,Aromatic PFASs,,10,,12
2212,O=[N+]([O-])CC(C[N+](=O)[O-])C(F)(F)C(F)(F)C(F)(F)F,[O-][N+](=O)CC(C[N+]([O-])=O)C(F)(F)C(F)(F)C(F)(F)F,[187923589 209425798 107816900 ... 144813810 103138359  98778908],Other PFASs,others,,10,,12
2213,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)c1cc2ccccc2s1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC2=CC=CC=C2S1,[250618452  39139378  26425151 ...  37089044 172498855 151237944],Other PFASs,Aromatic PFASs,,10,,12
2214,FC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)F,[250618452 541103106 107816900 ... 308331606 281920279  24383014],Other PFASs,Perfluoroalkanes,,10,,12
2215,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)Cl,FC(F)(Cl)C(F)(F)C(F)(F)C(F)(F)Cl,[111000236 201948856 107816900 ... 577917364 281920279 151237944],Other PFASs,Polyfluoroalkanes,,10,,12
