RDKIT_SMILES,SMILES,MHFP
F/C(=C(\C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,F\C(=C(/C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,[ 43491808 541103106 107816900 ...  65874932  94348247 115468828]
C=C(CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)CC(=C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  18439196 ...  15279529  16565031  22160906]
CCN(CCOP(=O)(OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCN(CCOP(=O)(OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 34574211  33988699  17313015 ... 136323818  55416695 151237944]
O=C(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  87855067 ...   8368225  99703927  64222056]
O=C(O)C(F)(F)COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)C(F)(F)COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[192864003 377861323 107816900 ...  37687752 101296679 151237944]
CCOC(=O)C(N)CC(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)C(N)CC(F)(F)C(F)(F)C(F)(F)F,[ 19469312 192842905  14316170 ... 210960177 243907095    175516]
O=C1c2c(F)c(F)c(F)c(F)c2C1(F)C(F)(C(F)(F)F)C(F)(F)F,FC1=C2C(=O)C(F)(C2=C(F)C(F)=C1F)C(F)(C(F)(F)F)C(F)(F)F,[104151341   9817950 104885532 ... 131684571   9822471 169374042]
C=CC(=O)OCCN(C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCOC(=O)C=C)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699  17313015 ... 171882282  31798551  27743636]
COC(=O)C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OC,COC(=O)C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)OC,[ 21266600 104111782  97181807 ...  16631887  43796935 108474474]
O=C(O)/C=C(/c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)\C=C(\C1=CC=CC=C1)C(F)(F)C(F)(F)C(F)(F)F,[154622744  77620277 107816900 ... 156800544  51467815  29516144]
COc1ccc2nccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2c1,COC1=CC2=C(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=CN=C2C=C1,[250618452 107055568  17313015 ...  17799215 107222071  29302852]
OCCOCCC(F)(F)F,"OCCOCCC(F)(F)F |lp:0:2,3:2,7:3,8:3,9:3,Sg:n:8,7,6::ht,Sg:n:3,2,1::ht|",[146941168  32511046 232751249 ... 313457457 269218407  98778836]
CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887 281920279 151237944]
O=P(O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(=O)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 90403826  71278405  42493806 ...  31057643 126736119 151237944]
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,[K+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 541103106  87855067 ...  37687752 281920279 151237944]
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,[250618452  21086568  97181807 ...  88808901  68472071 151237944]
O=S(=O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"OS(=O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F |lp:0:2,2:2,3:2,4:2,8:3,9:3,11:3,12:3,14:3,15:3,17:3,18:3,20:3,21:3,23:3,24:3,25:3,Sg:n:9,8,7:1-7:ht|",[250618452 104111782  17313015 ...  25029786  43796935 151237944]
CNCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CNCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  97181807 ...  16631887 166016711 130467758]
FC(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,FC(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,[ 90704825 372062702 107816900 ... 299509625 281920279 151237944]
C=CCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COCC=C,[ 35941647 104111782  97181807 ...   1095206 281920279  22166258]
CC(C)(C)C(=O)/C(=N/Nc1ccc([N+](=O)[O-])cc1)C(=O)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(C)C(=O)C(=N\NC1=CC=C(C=C1)[N+]([O-])=O)\C(=O)C(F)(F)C(F)(F)C(F)(F)F,[  7060930 102402892  40939220 ...  14713706  72176439  75695922]
O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1ccc(F)cc1,FC1=CC=C(C=C1)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452 111791931  23369274 ...  16937123 124409255  75695922]
CCCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  33988699  17313015 ... 133635739 138388023 151237944]
CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  55547398  97181807 ... 129030002 124409255 151237944]
O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908]
FC(F)=C(F)C(F)(F)C1(F)OC1(F)F,FC(F)=C(F)C(F)(F)C1(F)OC1(F)F,[250618452  41342666 107816900 ...  65874932 101296679 151237944]
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COP1(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=N1,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COP1(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=NP(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)(OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F)=N1,[ 35941647 153479361  95504826 ... 154704470 240371511  46460802]
