SMILES,RDKIT_SMILES,RDKIT_SMILES_help
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec710>
FC(F)(F)C1(F)OC(F)(F)C(F)(OC1=O)C(F)(F)F,O=C1OC(F)(C(F)(F)F)C(F)(F)OC1(F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec530>
CC1(C)OCC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O1,CC1(C)OCC(CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O1,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ecf30>
FC(F)(F)C(F)(F)C(F)(F)C1=C(CCl)C=CC(CCl)=C1,FC(F)(F)C(F)(F)C(F)(F)c1cc(CCl)ccc1CCl,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec8f0>
CC(=C)COC(F)(C(F)(F)F)C(F)(F)F,C=C(C)COC(F)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ecad0>
CCC(C)SC1=C(C)C(=CC=C1C(F)(C(F)(F)F)C(F)(F)F)C(O)=O,CCC(C)Sc1c(C(F)(C(F)(F)F)C(F)(F)F)ccc(C(=O)O)c1C,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ecb20>
CC(C)O[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC(C)C)OC(C)C,CC(C)O[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC(C)C)OC(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec670>
CCC1=C(C(=CC=C1C(O)=O)C(F)(C(F)(F)F)C(F)(F)F)S(C)(=O)=O,CCc1c(C(=O)O)ccc(C(F)(C(F)(F)F)C(F)(F)F)c1S(C)(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec350>
FC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec800>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec080>
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C\I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C/I,<rdkit.Chem.rdchem.Mol object at 0x7f75ff2ec260>
