Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,docking_score,range of docking_score
1382,CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,[250618452 245019154 107816900 ...  16631887 281920279 151237944],PFAA precursors,HFCs,-7.931,7
1383,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,[250618452 215423514 107816900 ...  88808901  53184391 151237944],Other PFASs,Perfluoroalkanes,-7.207,7
1384,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,18
1385,N#Cc1ccc(OCC(F)(F)C(F)(F)C(F)(F)F)cc1,FC(F)(F)C(F)(F)C(F)(F)COC1=CC=C(C=C1)C#N,[ 35941647  73299756 107816900 ... 187714554 156368119  46460802],Other PFASs,Aromatic PFASs,-8.685,6
1386,COc1ccccc1C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452  96422459 107816900 ... 215679073 281920279  29516144],Other PFASs,Aromatic PFASs,-8.688,6
1387,OCCCCCCOCC(F)(F)C(F)(F)C(F)(F)F,OCCCCCCOCC(F)(F)C(F)(F)C(F)(F)F,[ 35941647  73299756 107816900 ... 200578621 164025223  10360726],PFAA precursors,PolyFEACs,-9.35,5
1388,FC(F)(F)C(F)(F)C(F)(F)C1CCOC1,FC(F)(F)C(F)(F)C(F)(F)C1CCOC1,[ 67428694 506136821 107816900 ... 363754111 247408983 151237944],"PFAA precursors, cyclic","HFEs, cyclic",-7.573,7
1389,O=[Sn](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[Sn](=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  82667786 ...  21131108  43796935 111619180],Other PFASs,"(Hg,Sn,Ge,Sb,Se,B) PFASs",,18
1390,FC(F)C(F)(F)C(F)(F)OC(F)(F)F,FC(F)C(F)(F)C(F)(F)OC(F)(F)F,[231382269 363923993 107816900 ... 104247328  98940775  70269816],PFAA precursors,HFEs,-5.449,9
1391,O=C(OCC(F)(F)C(F)(F)C(F)(F)F)OCC(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)COC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,[ 35941647  65799705 107816900 ... 108802911 281920279  46460802],Polyfluoroalkyl acids,PolyFCA derivatives,-7.539,7
1392,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,[104828107 104111782  97181807 ... 203154325  14046279 151237944],PFAA precursors,HFOs,-9.653,5
1393,Cc1ccccc1C(F)(C(F)(F)F)C(F)(F)F,CC1=CC=CC=C1C(F)(C(F)(F)F)C(F)(F)F,[343908383 312252844  27734874 ... 215679073 235189367  29516144],Other PFASs,Aromatic PFASs,-8.82,6
1394,O=P(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 515029414 281920279 130781908],Other PFASs,others,-3.381,11
1395,C[N+](C)(C)CC(O)CSCCC(F)(F)F,"[Cl-].C[N+](C)(C)CC(O)CSCCC(F)(F)F |lp:0:4,7:2,9:2,13:3,14:3,15:3,Sg:n:14,13,12:4-18:ht|",[146941168  49018156 224977062 ...  36431493  99043863  46217122],PFAA precursors,n:2 fluorotelomer-based substances,,18
1396,FC(F)=C(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,FC(F)=C(F)OC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)F,[156871382 101247092 205751649 ... 211648350 101296679  70269816],PFAA precursors,PolyFEAenes,-5.107,9
1397,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)c1ccc(P(c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)c2ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(C=C1)P(C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[115611454 104111782  26425151 ... 162895639 281920279 107724166],Other PFASs,Aromatic PFASs,,18
1398,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OP(O)(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[171249045  71278405  95504826 ... 171882282  43796935 130781908],PFAA precursors,n:2 fluorotelomer-based substances,-9.22,5
1399,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CO,[ 35941647 634155906 107816900 ... 413328262 128847015  46460802],PFAA precursors,PolyFACs,-8.904,6
1400,FC(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,FC(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,[ 67428694  14149973  86261233 ... 120033026 101296679  42028148],"Other PFASs, cyclic","Perfluoroalkylethers, cyclic",-7.493,7
1401,O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 611624164 124409255 151237944],PFAA precursors,PFAK derivatives,-4.54,10
1402,CCCCCCCC/C=C\CCCCCCCC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[H]\C(CCCCCCCC)=C(/[H])CCCCCCCC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312 104111782  18439196 ...  15279529  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,,18
1403,CC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070 104111782  61173949 ... 328816003  14046279 151237944],PFAA precursors,SFAenes,,18
1404,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,-9.981,5
1405,OCC(F)(F)C(F)(F)C(F)(F)CO,OCC(F)(F)C(F)(F)C(F)(F)CO,[ 35941647 634155906  28035527 ... 413328262 128847015  46460802],PFAA precursors,PolyFACs,-6.74,8
1406,O=C(Cl)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(Cl)=O,[111000236 104111782  97181807 ... 171882282  43796935 151237944],PFAA precursors,Acid chloride,-8.42,6
1407,NS(=O)(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(=O)O)C(F)(F)F,[H][N+]([H])([H])[H].[H]N([H])S(=O)(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C([O-])=O)C(F)(F)F,[   853465   9635651  17313015 ... 189837130  60783143  50610154],Polyfluoroalkyl acids,PolyFCA derivatives,-8.066,6
1408,C#CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#C,[109264537 104111782  97181807 ...  78481900 281920279 143044428],Other PFASs,others,-7.671,7
1409,FC(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,[ 36931023  75884555  92943922 ... 233027258  74158135 151237944],Other PFASs,Perfluoroalkanes,-7.319,7
1410,OCC(I)=CC(F)(C(F)(F)F)C(F)(F)F,OCC(I)=CC(F)(C(F)(F)F)C(F)(F)F,[162730846 181216320 161177566 ...  73265823  80526903  46254836],PFAA precursors,PolyFAC derivatives,-8.134,6
1411,O=C(O)C(F)(C(F)(F)F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,OC(=O)C(F)(C(F)(F)F)C(F)(F)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F,[250618452 238840700  92943922 ... 267661412 281920279 151237944],PFAAs,PFCAs,-6.754,8
1412,O=C(CC(C(=O)OC(F)(F)C(F)(F)F)S(=O)(=O)O)OC(F)(F)C(F)(F)F,"[Na+].[O-]S(=O)(=O)C(CC(=O)OC(F)(F)C(F)(F)F)C(=O)OC(F)(F)C(F)(F)F |lp:1:3,3:2,4:2,8:2,9:2,11:3,12:3,14:3,15:3,16:3,18:2,19:2,21:3,22:3,24:3,25:3,26:3,Sg:n:12,11,10:3-17:ht,Sg:n:22,21,20:3-17:ht|",[112754211 113009692  17313015 ... 272476183 101296679  21751268],Polyfluoroalkyl acids,PolyFCA derivatives,,18
1413,CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,-9.993,5
1414,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[101390333  15733760  97181807 ...  18403413 281920279  65634510],PFAA precursors,PACFs,-8.239,6
1415,O=C1CC(C(F)(F)C(F)(F)C(F)(F)F)=Nc2ccccc2N1,FC(F)(F)C(F)(F)C(F)(F)C1=NC2=CC=CC=C2NC(=O)C1,[138816069 276130120 107816900 ... 194511214 107767783  97927708],Other PFASs,Aromatic PFASs,-9.746,5
1416,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,SFAs,-8.159,6
1417,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,[ 78558515 104111782  97181807 ...  52063218  43796935 145874996],"Other PFASs, cyclic","others, cyclic",-9.413,5
1418,O=c1[nH]cc(C(F)(F)C(F)(F)C(F)(F)F)c(=O)[nH]1,FC(F)(F)C(F)(F)C(F)(F)C1=CNC(=O)NC1=O,[  9818374  40626309  16073083 ... 176223008  22781943 107724166],Other PFASs,Aromatic PFASs,-7.416,7
1419,NC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,NC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  62348548 ...  39461391 116552119 151237944],Other PFASs,others,-7.622,7
1420,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 171882282  43796935 151237944],Polyfluoroalkyl acids,PolyFCAs,-8.103,6
1421,O=C(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(=O)C(F)(C(F)(F)F)C(F)(F)F,[250618452 165565989 107816900 ... 437241134 105626007  75695922],PFAA precursors,PFAKs,-6.88,8
1422,CC(=O)Nc1ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CC(=O)NC1=CC=C(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[250618452 107055568  17313015 ... 194511214  22685495  29302852],Other PFASs,Aromatic PFASs,-8.302,6
1423,O=P(O)(OC(c1ccccc1)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,OP(=O)(OC(C1=CC=CC=C1)C(F)(F)C(F)(F)C(F)(F)F)C1=CC=CC=C1,[162621131  71278405  95504826 ...  51127383 281920279  29516144],Other PFASs,Aromatic PFASs,-10.072,4
1424,F/C(=C(/C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,F\C(=C(\C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,[ 43491808   5309061  71299157 ...  65874932  94348247 115468828],PFAA precursors,PFAenes,-7.192,7
1425,O=c1nc(C(F)(F)C(F)(F)C(F)(F)F)[nH]o1,FC(F)(F)C(F)(F)C(F)(F)C1=NC(=O)ON1,[  1073365  16650409 107816900 ... 119884611 281920279  58240898],Other PFASs,Aromatic PFASs,-6.812,8
1426,FC(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F,FC(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)C1(F)F,[   853465 177408796 107816900 ... 294071504  41267783  27799398],"Other PFASs, cyclic","Perfluoroalkylethers, cyclic",-7.332,7
1427,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,[187774998  96266790  33612732 ... 139832924  21348103 124993638],Other PFASs,Polyfluoroalkanes,-7.237,7
1428,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCBr,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCBr,[250618452 104111782  97181807 ...  46064494  43796935 134521232],Other PFASs,Polyfluoroalkanes,-8.752,6
1429,CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 38604113   1055672  97181807 ...  58849484  43796935 151237944],Other PFASs,Polyfluoroalkanes,-9.672,5
1430,CN(CCO)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCO)S(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 21375283  33988699  17313015 ... 171882282  31798551  27743636],Other PFASs,others,-9.444,5
1431,Oc1cccc(NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,OC1=CC=CC(NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,[ 54297102  20250656  97181807 ... 110216387  18477239 151237944],Other PFASs,Aromatic PFASs,-10.65,4
1432,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,[ 19469312  85244370  18439196 ...  15279529  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,-8.852,6
1433,O=S(=O)(O)c1ccccc1CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[Na+].[H]N(CC1=CC=CC=C1S([O-])(=O)=O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  17313015 ... 136323818  90036311  29516144],Other PFASs,Aromatic PFASs,-9.543,5
1434,C=CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC=C,[250618452 104111782  97181807 ... 146756134 281920279 133134902],PFAA precursors,PolyFAenes,-7.451,7
1435,C=CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OCC=C,[ 19469312 104111782  87855067 ...   1095206  99703927  88906274],Polyfluoroalkyl acids,PolyFCA derivatives,-8.579,6
1436,O=S(=O)(OCC(F)(F)C(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)C(F)(F)COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 107055568  17313015 ...  25029786 107222071  24766088],PFAAs,PFSA derivatives,-7.421,7
1437,CC(=O)OCC(I)CC(F)(F)C(F)(F)C(F)(F)F,CC(=O)OCC(I)CC(F)(F)C(F)(F)C(F)(F)F,[ 19469312 176735456 107816900 ...  58849484  52429719 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,-7.891,7
1438,CCN(CC)C(=O)C(F)(F)C(F)(F)C(F)(F)F,CCN(CC)C(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060  12560177 ... 194511214 281920279 151237944],Other PFASs,Amide derivatives,-6.828,8
1439,CCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCC=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[216993070   5065065  97181807 ... 200578621  14046279 151237944],PFAA precursors,SFAenes,-9.724,5
1440,FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[146045426 104111782  97181807 ...  37796763  14046279 151237944],PFAA precursors,PolyFAenes,-8.252,6
1441,FC(F)C(F)(F)C(F)(F)C(F)(F)[Si](Cl)(Cl)Cl,FC(F)C(F)(F)C(F)(F)C(F)(F)[Si](Cl)(Cl)Cl,[250618452 393782665 107816900 ... 140217181 240371511 151237944],Other PFASs,Si PFASs,,18
1442,CCOC(=O)c1c(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nc2ccccn12,CCOC(=O)C1=C(N=C2C=CC=CN12)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  14316170 ... 145991276 111883495  11293204],Other PFASs,Aromatic PFASs,-9.841,5
1443,CCOC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  40010548  14316170 ...   8587256  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,-8.822,6
1444,C=CC(=O)OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCCOC(=O)C=C,[ 19469312  85244370  97181807 ...  16631887  43796935 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,-9.593,5
1445,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)/C=C\c1ccccc1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)\C=C/C1=CC=CC=C1,[152572759   6049428  97181807 ... 215679073  14046279  29516144],Other PFASs,Aromatic PFASs,-9.577,5
1446,CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Cl.CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452   1815513  17313015 ... 136323818  90036311  29302852],PFAA precursors,PASF-based substances,-6.998,8
1447,Cc1ccc(S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,CC1=CC=C(C=C1)S(=O)(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[35941647 44409534 17313015 ...  4192194 49046199 46460802],Other PFASs,Aromatic PFASs,-9.167,5
1448,O=C(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 171882282  43796935 151237944],Polyfluoroalkyl acids,PolyFCAs,-8.01,6
1449,O=C(Nc1ccc(F)cc1)C(F)(F)C(F)(F)C(F)(F)F,FC1=CC=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[250618452   8492060 107816900 ...  54552999 100272231   7509946],Other PFASs,Aromatic PFASs,-8.564,6
1450,O=C(NCCO)C(F)(F)C(F)(F)C(F)(F)F,OCCNC(=O)C(F)(F)C(F)(F)C(F)(F)F,[250618452   8492060  93274711 ... 173374004 252229687 151237944],Other PFASs,Amide derivatives,-7.273,7
1451,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,-8.237,6
1452,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CC1CO1,[ 78558515 104111782  97181807 ...  52063218  43796935 145874996],"Other PFASs, cyclic","others, cyclic",-8.979,6
1453,FC(F)(F)C(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,FC(F)(F)C(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,[651412785  51956133  62348548 ... 611624164 101296679 115885840],"Other PFASs, cyclic","Polyfluoroalkyl ethers and derivatives, cyclic",-6.726,8
1454,C[N+](CCO)(CCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[I-].C[N+](CCO)(CCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 26283414 104111782  97181807 ... 171882282  43796935   5587662],Other PFASs,others,-11.953,3
1455,C=CC(=O)OCCN(C)S(=O)(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CN(CCOC(=O)C=C)S(=O)(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 19469312  33988699   1092040 ... 291378977  31798551  81500836],Polyfluoroalkyl acids,PolyFCA derivatives,-9.15,5
1456,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,-8.166,6
1457,CCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ...  16631887  43796935 151237944],PFAA precursors,HFCs,,18
1458,FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,[250618452 198792108  12884121 ... 212683906  23638503  71007262],PFAA precursors,HFEs,-6.201,8
