Order,RDKIT_SMILES,SMILES,MHFP,First_Class,Second_Class,docking_score,range of docking_score
3125,C=CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)C=C,[ 19469312  85244370  18439196 ...  15279529  43796935 151237944],PFAA precursors,n:2 fluorotelomer-based substances,-4.619,10
3126,C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,[ 19469312  85244370  97181807 ... 291378977 281920279  46460802],Polyfluoroalkyl acids,PolyFCA derivatives,-6.971,8
3127,CCCCC/C=C/C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCCCC\C=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[178291359 104111782  97181807 ... 200578621  14046279  51400916],PFAA precursors,SFAenes,-9.331,5
3128,FC(F)(F)C(F)(F)OC1(F)OC(F)(C(F)(F)F)C(F)(F)OC1(F)C(F)(F)F,FC(F)(F)C(F)(F)OC1(F)OC(F)(C(F)(F)F)C(F)(F)OC1(F)C(F)(F)F,[  853465  2166399 22848942 ... 12838608 69108455 36136210],"Other PFASs, cyclic","Perfluoroalkylethers, cyclic",-7.547,7
3129,C=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)=C,[111000236 104111782  97181807 ... 611624164 174064983 151237944],PFAA precursors,PolyFAenes,-7.488,7
3130,FC(F)=C(F)C(F)=C(F)F,FC(F)=C(F)C(F)=C(F)F,[985376801  85821563 577810029 ...  65874932 427649447 201568010],Other PFASs,PFAS derivatives,-5.103,9
3131,NS(=O)(=O)c1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,NS(=O)(=O)C1=CC=C(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,[ 61332433 104111782  17313015 ...  13850487  69311799 151237944],Other PFASs,Aromatic PFASs,-10.385,4
3132,COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,COC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[202062147 104111782  97181807 ...  35740225 124409255 151237944],Polyfluoroalkyl acids,PolyFCA derivatives,-7.277,7
3133,O=C(O)c1ccc(C(F)(F)C(F)(F)C(F)(F)F)cc1,OC(=O)C1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)F,[250618452 191941852 107816900 ... 176223008   3179815 107724166],Other PFASs,Aromatic PFASs,-9.326,5
3134,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[250618452 104111782  97181807 ... 611624164 281920279 151237944],Other PFASs,Perfluoroalkanes,-8.85,6
3135,CO/C(F)=C(\F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CO\C(F)=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,[ 16789453 104111782  97181807 ...  65874932 281920279 151237944],Other PFASs,others,-7.154,7
